"key";"de";"en";"de_f";"it";"es"
"TIMI_0000_PROMPT";"Fragebogen zur unwillkürlichen musikalischen Imagination ";"Involuntary Musical Imagination Scale";"Fragebogen zur unwillkürlichen musikalischen Imagination ";"Involuntary Musical Imagination Scale";"Involuntary Musical Imagination Scale"
"TIMI_0001_PROMPT";"Geht Ihnen manchmal eine Melodie einfach nicht mehr aus dem Kopf? Diese Erfahrung ist bekannt als „einen Ohrwurm haben.“ \\  Ein Ohrwurm ist ein kleiner Ausschnitt Musik, der Ihnen einfach so in den Sinn kommt und sich dann spontan oft wiederholt, wie in einer Schleife.  Ein Ohrwurm kann einen Text haben oder nur aus einer Melodie oder einem Rhythmus bestehen. \\ Der folgende Fragebogen zu Ohrwürmer besteht aus 18 Fragen und wird eingesetzt, um solche Erlebnisse zu untersuchen.";"Do you have sometimes a tune stuck in your head?   This experience is known as “having an earworm”.  \\An earworm is a short section of music that comes into your mind without effort and then repeats by itself spontaneously, on a loop. It may have words or it may just be a melody or a rhythm. \\This  questionaire  is used to study this experience and consists of 18 items. ";"Geht Ihnen manchmal eine Melodie einfach nicht mehr aus dem Kopf? Diese Erfahrung ist bekannt als „einen Ohrwurm haben.“ \\  Ein Ohrwurm ist ein kleiner Ausschnitt Musik, der Ihnen einfach so in den Sinn kommt und sich dann spontan oft wiederholt, wie in einer Schleife.  Ein Ohrwurm kann einen Text haben oder nur aus einer Melodie oder einem Rhythmus bestehen. \\ Der folgende Fragebogen zu Ohrwürmer besteht aus 18 Fragen und wird eingesetzt, um solche Erlebnisse zu untersuchen.";"Do you have sometimes a tune stuck in your head?   This experience is known as “having an earworm”.  \\An earworm is a short section of music that comes into your mind without effort and then repeats by itself spontaneously, on a loop. It may have words or it may just be a melody or a rhythm. \\This  questionaire  is used to study this experience and consists of 18 items. ";"Do you have sometimes a tune stuck in your head?   This experience is known as “having an earworm”.  \\An earworm is a short section of music that comes into your mind without effort and then repeats by itself spontaneously, on a loop. It may have words or it may just be a melody or a rhythm. \\This  questionaire  is used to study this experience and consists of 18 items. "
"TIMI_0002_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0002_CHOICE2";"Einmal im Monat ";"Once a month";"Einmal im Monat ";"Once a month";"Once a month"
"TIMI_0002_CHOICE3";"Einmal in der Woche";"Once a week";"Einmal in der Woche";"Once a week";"Once a week"
"TIMI_0002_CHOICE4";"Mehrmals in der Woche";"Several times a week";"Mehrmals in der Woche";"Several times a week";"Several times a week"
"TIMI_0002_CHOICE5";"Mehrmals am Tag";"Several times a day";"Mehrmals am Tag";"Several times a day";"Several times a day"
"TIMI_0002_CHOICE6";"Nahezu immer ";"Almost continuously";"Nahezu immer ";"Almost continuously";"Almost continuously"
"TIMI_0002_PROMPT";"Ohrwürmer habe ich normalerweise ";"On average, I experience earworms";"Ohrwürmer habe ich normalerweise ";"On average, I experience earworms";"On average, I experience earworms"
"TIMI_0003_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0003_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0003_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0003_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0003_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0003_PROMPT";"Ohrwürmer helfen mir, wenn ich Dinge erledige";"Earworms help me when I am trying to get things done";"Ohrwürmer helfen mir, wenn ich Dinge erledige";"Earworms help me when I am trying to get things done";"Earworms help me when I am trying to get things done"
"TIMI_0004_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0004_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0004_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0004_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0004_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0004_PROMPT";"Es beunruhigt mich einen Ohrwurm zu haben";"It worries me when I have an earworm stuck in my head";"Es beunruhigt mich einen Ohrwurm zu haben";"It worries me when I have an earworm stuck in my head";"It worries me when I have an earworm stuck in my head"
"TIMI_0005_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0005_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0005_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0005_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0005_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0005_PROMPT";"Wenn ich einen Ohrwurm habe, bewege ich mich zum Takt der imaginierten Musik ";"When I get an earworm I move to the beat of the imagined music";"Wenn ich einen Ohrwurm habe, bewege ich mich zum Takt der imaginierten Musik ";"When I get an earworm I move to the beat of the imagined music";"When I get an earworm I move to the beat of the imagined music"
"TIMI_0006_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0006_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0006_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0006_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0006_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0006_PROMPT";"Meine Ohrwürmer regen mich auf";"My earworms agitate me";"Meine Ohrwürmer regen mich auf";"My earworms agitate me";"My earworms agitate me"
"TIMI_0007_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0007_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0007_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0007_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0007_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0007_PROMPT";"Persönliche Probleme lösen meine Ohrwürmer aus";"Personal issues trigger my earworms";"Persönliche Probleme lösen meine Ohrwürmer aus";"Personal issues trigger my earworms";"Personal issues trigger my earworms"
"TIMI_0008_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0008_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0008_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0008_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0008_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0008_PROMPT";"Ich würde meine Ohrwürmer gerne beenden können";"I wish I could stop my earworms";"Ich würde meine Ohrwürmer gerne beenden können";"I wish I could stop my earworms";"I wish I could stop my earworms"
"TIMI_0009_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0009_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0009_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0009_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0009_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0009_PROMPT";"Ich bewege mich synchron zu meinen Ohrwürmern";"The way I move is in sync with my earworms";"Ich bewege mich synchron zu meinen Ohrwürmern";"The way I move is in sync with my earworms";"The way I move is in sync with my earworms"
"TIMI_0010_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0010_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0010_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0010_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0010_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
"TIMI_0010_PROMPT";"Meine Ohrwürmer irritieren mich";"I find my earworms irritating";"Meine Ohrwürmer irritieren mich";"I find my earworms irritating";"I find my earworms irritating"
"TIMI_0011_CHOICE1";"Niemals";"Never";"Niemals";"Never";"Never"
"TIMI_0011_CHOICE2";"Selten";"Not very often";"Selten";"Not very often";"Not very often"
"TIMI_0011_CHOICE3";"Manchmal";"Sometimes";"Manchmal";"Sometimes";"Sometimes"
"TIMI_0011_CHOICE4";"Meistens";"Most of the time";"Meistens";"Most of the time";"Most of the time"
"TIMI_0011_CHOICE5";"Immer";"Always";"Immer";"Always";"Always"
