key;de;en;ar
TCBQ_0000_PROMPT;CBQ-36;Children's Behavior Questionnaire - Very Short Form ;استبيان سلوك الأطفال
TCBQ_0001_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0001_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0001_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0001_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0001_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0001_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0001_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0001_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0001_PROMPT;Mein Kind wirkt so, als würde es immer hektisch von einem Ort zum anderen wechseln.;My child seems always in a big hurry to get from one place to another.;يبدو يف ًامةادعج.ة كبيرة للا تقال من مكان إلى آفرج 
TCBQ_0002_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0002_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0002_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0002_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0002_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0002_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0002_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0002_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0002_PROMPT ;Mein Kind ist sehr frustriert, wenn es nicht machen kann, was es will. ;My child gets quite frustrated when prevented from doing something s/he wants to do. ;يصبح محبطا ل.غاية ع دما يم ه من فعل شيء يريد فع.ه. 
TCBQ_0003_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0003_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0003_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0003_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0003_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0003_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0003_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0003_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0003_PROMPT;Mein Kind ist sehr konzentriert, wenn es malt oder zeichnet. ;When drawing or coloring in a book, my child shows strong concentration.;عندما يرسم أو يلون في كتاب, يظهر تركيز ًا قوي.ًا
TCBQ_0004_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0004_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0004_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0004_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0004_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0004_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0004_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0004_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0004_PROMPT;Mein Kind springt gerne von hohen Stufen oder Mauern oder mag andere abenteuerliche Aktivitäten. ;My child likes going down high slides or other adventurous activities. ; يحب لعبة التزلج أو نشاطات أخرى فيها مغامرة.
TCBQ_0005_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0005_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0005_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0005_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0005_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0005_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0005_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0005_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0005_PROMPT;Mein Kind regt sich sehr über kleine Verletzungen (Schnitte oder Prellungen) auf. ;My child is quite upset by a little cut or bruise. ;ينزعج ًادج من جرح أو كدمة صغيرين. 
TCBQ_0006_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0006_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0006_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0006_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0006_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0006_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0006_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0006_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0006_PROMPT;Mein Kind bereitet sich auf Ausflüge oder Aktivitäten im Freien vor, indem es plant, was es dabei benötigt.;My child prepares for trips and outings by planning things s/he will need. ;يستعد للرحلات والنزهات بالتخطيط للأمور التي سيحتاجها.
TCBQ_0007_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0007_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0007_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0007_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0007_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0007_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0007_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0007_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0007_PROMPT;Mein Kind stürmt oft in neue Situationen hinein. ;My child often rushes into new situations.;ًابلاغ ما يندفع إلى مواقف جديدة. 
TCBQ_0008_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0008_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0008_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0008_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0008_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0008_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0008_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0008_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0008_PROMPT;Mein Kind neigt dazu traurig zu sein, wenn geplante Familienaktivitäten nicht stattfinden. ;My child tends to become sad if the family's plans don't work out.;يميل لان يصبح حزينا إذا لم تنجح خطط العائلة. 
TCBQ_0009_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0009_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0009_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0009_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0009_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0009_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
TCBQ_0009_CHOICE7;Trifft sehr zu ;Extremely true ;صحيح إلى بعد حد
TCBQ_0009_CHOICE8;Nicht beurteilbar;Not applicable ;م ي طبق
TCBQ_0009_PROMPT;Mein Kind mag es, wenn man ihm etwas vorsingt.;My child likes being sung to. ;يحب أن يغنى له . 
TCBQ_0010_CHOICE1;Trifft überhaupt nicht zu;Extremely untrue ;ير صحيح إلى بعد حد
TCBQ_0010_CHOICE2;Trifft überwiegend nicht zu ;Quite untrue ;ير صحيح إلى حد بعيد
TCBQ_0010_CHOICE3;Etwas unzutreffend ;Slightly untrue ;ير صحيح ام ًاعو 
TCBQ_0010_CHOICE4;Weder noch ;Neither true nor untrue ;م هو صحيح وم هو ير صحيح 
TCBQ_0010_CHOICE5;Etwas zutreffend;Slightly true ; ام ًاعو  حيحص
TCBQ_0010_CHOICE6;Trifft überwiegend zu ;Quite true ;صحيح إلى حد بعيد
