key;de;de_f;en;lv
TMPA_0000_PROMPT;Was ich über Musik und Darbietung denke (MPA);Was ich über Musik und Darbietung denke (MPA);What I think about music and performing (MPA);Aptauja par mūziku un uzstāšanos
TMPA_0001_PROMPT;Bitte denke an Musik im Allgemeinen und an dein Hauptinstrument im Besonderen und beantworten die Fragen, indem du die Antwort wählst, die dein Gefühl am besten beschreibt.;Bitte denken Sie an Musik im Allgemeinen und an Ihr Hauptinstrument und beantworten Sie die Fragen, indem Sie die Antwort wählen, die Ihr Gefühl am besten beschreibt.;Please think about music in general and your major instrument and answer the questions by choosing the answer, which describes best how you feel.;Lūdzu, vispārīgi padomā  par mūziku un savu (galveno) mūzikas instrumentu, un atbildi uz jautājumiem izvēloties atbilstošu atbildi, kas raksturo tavas izjūtas.
TMPA_0002_CHOICE1;Ja;Ja;Yes;Jā
TMPA_0002_CHOICE2;Nein;Nein;No;Nē
TMPA_0002_PROMPT;Spielst du ein Musikinstrument?;Spielen Sie ein Musikinstrument?;Do you play a musical instrument?;Vai Tu spēlē kādu mūzikas instrumentu vai arī uzstājies kā dziedātājs?
TMPA_0003_CHOICE1;Niemals;Niemals;None of the time;Nekad
TMPA_0003_CHOICE2;Selten;Selten;Rarely;Reti
TMPA_0003_CHOICE3;Manchmal;Manchmal;Occasionally;Dažreiz
TMPA_0003_CHOICE4;Ungefähr die Hälfte der Zeit;Ungefähr die Hälfte der Zeit;About half the time;Apmēram pusē no gadījumiem
TMPA_0003_CHOICE5;Oft;Oft;Often;Bieži
TMPA_0003_CHOICE6;Sehr oft;Sehr oft;Very often;Ļoti bieži
TMPA_0003_CHOICE7;Immer;Immer;All of the time;Vienmēr
TMPA_0003_PROMPT;Bevor ich auftrete, habe ich Schmetterlinge im Bauch.;Bevor ich auftrete, habe ich Schmetterlinge im Bauch.;Before I perform, I get butterflies in my stomach;Pirms uzstāšanās es jūtu “tauriņus vēderā”
TMPA_0004_CHOICE1;Niemals;Niemals;None of the time;Nekad
TMPA_0004_CHOICE2;Selten;Selten;Rarely;Reti
TMPA_0004_CHOICE3;Manchmal;Manchmal;Occasionally;Dažreiz
TMPA_0004_CHOICE4;Ungefähr die Hälfte der Zeit;Ungefähr die Hälfte der Zeit;About half the time;Apmēram pusē no gadījumiem
TMPA_0004_CHOICE5;Oft;Oft;Often;Bieži
TMPA_0004_CHOICE6;Sehr oft;Sehr oft;Very often;Ļoti bieži
TMPA_0004_CHOICE7;Immer;Immer;All of the time;Vienmēr
TMPA_0004_PROMPT;Ich mache mir oft Sorgen über meine Fähigkeit, etwas zu leisten.;Ich mache mir oft Sorgen über meine Fähigkeit, etwas zu leisten.;I often worry about my ability to perform;Es parasti uztraucos par savu uzstāšanos
TMPA_0005_CHOICE1;Niemals;Niemals;None of the time;Nekad
TMPA_0005_CHOICE2;Selten;Selten;Rarely;Reti
TMPA_0005_CHOICE3;Manchmal;Manchmal;Occasionally;Dažreiz
TMPA_0005_CHOICE4;Ungefähr die Hälfte der Zeit;Ungefähr die Hälfte der Zeit;About half the time;Apmēram pusē no gadījumiem
TMPA_0005_CHOICE5;Oft;Oft;Often;Bieži
TMPA_0005_CHOICE6;Sehr oft;Sehr oft;Very often;Ļoti bieži
