"key";"DE";"EN"
"WELCOME";"Willkommen zum {{test_name}}!";"Welcome to the {{test_name}}!"
"START";"Start";"Start"
"ENTER_ID";"Bitte gebe Deine ID ein";"Please enter your ID"
"ENTER_ID_1";"Gib bitte deine Teilnehmernummer  unten an. Du findest sie auf dem Zettelchen. Stelle sicher, dass du die Nummer korrekt übernimmst!";"Enter your Participant  ID below. You should find it on the slip of paper provided. Please make sure you copy them down accurately!"
"ID_NUMBER";"Teilnahmenummer";"Participant Number"
"PARTICIPANT_ID";"Teilnahme-ID";"Participant ID"
"CONTINUE";"Weiter";"Continue"
"BACK";"Zurück";"Go back"
"VOLUME_CALIBRATION";"Lautstärkeeinstellung";"Volume Calibration"
"VC_PROMPT";"Du solltest jetzt Musik über deinen Kopfhörer hören. Benutze die Lautstärkeregelung an deinem Computer, um die Lautstärke auf ein angenehmes Niveau einzustellen. Wenn du das gemacht hast, drücke bitte auf 'Weiter'.";"You should hear a piece of music playing over your headphones. Using the volume controls on your computer, please ensure that the music is at a comfortable volume. When you have done this, please press 'Continue' to start the testing session."
"VC_HINT";"Wenn du keine Musik hörst überrpüfe bitte, ob die Lautstärke hoch genug ist. Sollte es trotzdem nicht funktionieren oder zeigt dein Computer eine Fehermeldung, dann ist dein Browser eventuell nicht kompatibel mit den Audio Files. Wir empfehlen Google Chrome. Du kannst versuchen, den Test in einem neuen Browser zu öffen indem du die URL kopierst und einfügst.";"If no music plays, please check that your volume is high enough. If this doesn't work, or if you see an error message, your browser may not be compatible with the audio files. We recommend Google Chrome. You can try running the test in a new browser simply by copying and pasting the URL."
"YES_LOWER";"ja";"yes"
"NO_LOWER";"nein";"no"
"YES_UPPER";"Ja";"Yes"
"NO_UPPER";"Nein";"No"
"CORRECT";"Richtig!";"Correct!"
"WRONG";"Leider falsch.";"Incorrect."
"RESULTS_SAVED";"Deine Ergebnisse wurden gespeichert.";"Your results have been saved."
"CLOSE_BROWSER";"<br>Du kannst das Browserfenster jetzt schließen.";"<br>You can close the browser window now."
"PAGE_HEADER";"Frage {{num_question}} von {{test_length}}";"Question {{num_question}} out of {{test_length}}"
"FEEDBACK_NUM_CORRECT";"Du hast {{num_correct}} von {{test_length}}   Fragen richtig beantwortet.";"You answered {{num_correct}}  out of  {{test_length}}   questions correctly."
"FEEDBACK_IQ";"Dein {{test_name}}-IQ is {{test_score}}. Das bedeutet, dass du besser als {{test_threshold}}  % der Bevölkerung bei dieser Aufgabe warst.";"Your {{test_name}}-IQ was {{test_score}}. This means that you are better than {{test_threshold}}  % of the population on this task."
"FEEDBACK_IRT";"Dein Item-Response-Wert is  {{irt_score}}  mit einem Standardmessfehler von {{irt_sem}}.  ";"Your item response score is  {{irt_score}}  with a standard error of measurement of  {{irt_sem}}.  "
"ID_EXAMPLE";"z.B. 10492817";"e.g. 10492817"
"COMPLETED";"Du hast den {{test_name}} geschafft.";"You completed the {{test_name}}"
"AUDIO_ERROR";"Dein Browser unterstützt kein Audio. Dieser Test funktioniert nicht ohne Audio, sorry!";"Your browser doesn't support audio. This test won't work without audio, sorry!"
"JANUARY";"Januar";"January"
"FEBRUARY";"Februar";"February"
"MARCH";"März";"March"
"APRIL";"April";"April"
"MAY";"Mai";"May"
"JUNE";"Juni";"June"
"JULY";"Juli";"July"
"AUGUST";"August";"August"
"SEPTEMBER";"September";"September"
"OCTOBER";"Oktober";"October"
"NOVEMBER";"November";"November"
"DECEMBER";"Dezember";"December"
"AFGHANISTAN";"Deutschland";"Afghanistan"
"BULGARIA";"Bulgarien";"Bulgaria"
"CHINA";"China";"China"
"GERMANY";"Deutschland";"Germany"
"IRAQ";"China";"China"
"GREECE";"Griechenland";"Greece"
"IRAQ";"Irak";"Iraq"
"IRAN";"Iran";"Iran"
"ITALY";"Italien";"Italy"
"KOSOVO";"Kosovo";"Kosovo"
"POLAND";"Polen";"Poland"
"ROMANIA";"Rumänien";"Romania"
