key;de;en;de_f;it;es;lv
TMHE_0000_PROMPT;Fragebogen zur musikalischen Aktivität im Elternhaus;Musical Home Environment Questionnaire;Fragebogen zur musikalischen Aktivität im Elternhaus;Questionario sull’ambiente musicale domestico;Cuestionario sobre el ambiente doméstico musical;Aptauja par mūzikas vidi mājās
TMHE_0001_PROMPT;Bitte gib für die folgenden Familienmitglieder an, welche musikalischen Aktivitäten sie in letzter Zeit ausgeführt haben. (Klicke alles Zutreffende an oder keine der Boxen, falls nichts zutrifft.);Please indicate the degree of current musical activities for the following members of your family. (Tick all that apply.);Bitte gib für die folgenden Familienmitglieder an, welche musikalischen Aktivitäten sie in letzter Zeit ausgeführt haben. (Klicke alles Zutreffende an oder keine der Boxen, falls nichts zutrifft.);Per favore, indica il grado di ricorrenza delle seguenti attività musicali per i membri della tua famiglia (segna tutte le risposte pertinenti):;Por favor, indica la frecuencia de las siguientes actividades musicales realizadas por los miembros de tu familia. (Marca todas aquellas que se cumplan).;"Lūdzu, norādi mūzikas aktivitātes, ar kurām pašreiz nodarbojas Tavi ģimenes locekļi (atzīmē visu, kas der, ja ne ar ko nenodarbojas, tad spied 'Turpināt')."
TMHE_0002_CHOICE1;… spielt ein Instrument.;… is playing an instrument.;… spielt ein Instrument.;…suona uno strumento;…toca un instrumento;.. spēlē kādu mūzikas instrumentu
TMHE_0002_CHOICE2;… singt in einem Chor.;… is singing in a choir.;… singt in einem Chor.;…canta in un coro;…canta en un coro;.. dzied korī
TMHE_0002_PROMPT;Meine Mutter;My mother;Meine Mutter;Mia madre;Mi madre;Māte
TMHE_0003_CHOICE1;… spielt ein Instrument.;… is playing an instrument.;… spielt ein Instrument.;…suona uno strumento;…toca un instrumento;.. spēlē kādu mūzikas instrumentu
TMHE_0003_CHOICE2;… singt in einem Chor.;… is singing in a choir.;… singt in einem Chor.;…canta in un coro;…canta en un coro;.. dzied korī
TMHE_0003_PROMPT;Mein Vater;My father;Mein Vater;Mio padre;Mi padre;Tēvs
TMHE_0004_PROMPT;Wie oft unternehmen deine Eltern oder jemand anderes mit dir zu Hause, während der Ferien oder am Wochenende die folgenden Aktivitäten?;During holiday times and weekends, how often do your parents or someone else at home do the following activities with you?;Wie oft unternehmen deine Eltern oder jemand anderes mit dir zu Hause, während der Ferien oder am Wochenende die folgenden Aktivitäten?;Durante le vacanze e i weekend, con che frequenza i tuoi genitori o qualcun altro a casa tua svolge con te le seguenti attività?;Durante las vacaciones y los fines de semana, con qué frecuencia tus padres u otra persona en tu casa realiza contigo las siguientes actividades?;Cik bieži tavi vecāki vai kāds cits mājās brīvlaikā vai brīvdienās veic ar tevi šādas darbības?
TMHE_0005_CHOICE1;Täglich oder fast jeden Tag;Every day or nearly every day;Täglich oder fast jeden Tag;Ogni giorno o quasi ogni giorno;Cada día o casi cada día;Katru dienu vai gandrīz katru dienu
