key;de;en;de_f;it;es;lv
TSEM_0000_PROMPT;Fragebogen zur schulischen Verbundenheit;School Engagement Measure;Fragebogen zur schulischen Verbundenheit;School Engagement Measure;School Engagement Measure;Iesaistīšanās skolas dzīvē
TSEM_0001_PROMPT;Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, es ist aber wichtig, dass du so ehrlich wie möglich antwortest.;Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important to answer each question as honestly as possible.;Bitte gib an, inwieweit die folgenden Aussagen auf dich zutreffen. Es gibt keine richtigen oder falschen Antworten, es ist aber wichtig, dass du so ehrlich wie möglich antwortest.;Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important to answer each question as honestly as possible.;Please rate the following statements according to how well the statement applies to you. There are no right or wrong answers, but it is important to answer each question as honestly as possible.;Lūdzu, novērtē šos apgalvojumus atbilstoši tam, kā tie attiecas uz Tevi.  Nav pareizu vai nepareizu atbilžu, taču ir svarīgi atbildēt godīgi.
TSEM_0002_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0002_CHOICE2;2;2;2;2;2;2
TSEM_0002_CHOICE3;3;3;3;3;3;3
TSEM_0002_CHOICE4;4;4;4;4;4;4
TSEM_0002_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
TSEM_0002_PROMPT;Wie oft hast du Schwierigkeiten, dich im Unterricht zu konzentrieren?;How often do you have trouble paying attention in classes?;Wie oft hast du Schwierigkeiten, dich im Unterricht zu konzentrieren?;How often do you have trouble paying attention in classes?;How often do you have trouble paying attention in classes?;Cik bieži stundu laikā tev ir grūti pievērst uzmanību mācībām?
TSEM_0003_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0003_CHOICE2;2;2;2;2;2;2
TSEM_0003_CHOICE3;3;3;3;3;3;3
TSEM_0003_CHOICE4;4;4;4;4;4;4
TSEM_0003_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
TSEM_0003_PROMPT;Wie oft machst du deine Hausaufgaben rechtzeitig?;How often do you get schoolwork done on time?;Wie oft machst du deine Hausaufgaben rechtzeitig?;How often do you get schoolwork done on time?;How often do you get schoolwork done on time?;Cik bieži tu izpildi skolas darbus laicīgi?
TSEM_0004_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0004_CHOICE2;2;2;2;2;2;2
TSEM_0004_CHOICE3;3;3;3;3;3;3
TSEM_0004_CHOICE4;4;4;4;4;4;4
TSEM_0004_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
TSEM_0004_PROMPT;Wie oft fällt es dir schwer, dich auf die Arbeit in der Schule zu konzentrieren?;How often do you find that it is hard for you to keep your mind on your work in school?;Wie oft fällt es dir schwer, dich auf die Arbeit in der Schule zu konzentrieren?;How often do you find that it is hard for you to keep your mind on your work in school?;How often do you find that it is hard for you to keep your mind on your work in school?;Cik bieži tu saproti, ka tev ir grūti koncentrēties mācību laikā?
TSEM_0005_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0005_CHOICE2;2;2;2;2;2;2
TSEM_0005_CHOICE3;3;3;3;3;3;3
TSEM_0005_CHOICE4;4;4;4;4;4;4
TSEM_0005_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
TSEM_0005_PROMPT;Wie oft hast du schon jemanden dafür geschlagen, was er/sie gesagt oder getan hat?;How often have you hit someone for what they said/did?;Wie oft hast du schon jemanden dafür geschlagen, was er/sie gesagt oder getan hat?;How often have you hit someone for what they said/did?;How often have you hit someone for what they said/did?;Cik bieži tu kādam esi nodarījis fiziski pāri par to, ko viņš tev ir pateicis vai nodarījis?
TSEM_0006_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0006_CHOICE2;2;2;2;2;2;2
TSEM_0006_CHOICE3;3;3;3;3;3;3
TSEM_0006_CHOICE4;4;4;4;4;4;4
TSEM_0006_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
TSEM_0006_PROMPT;Wie oft warst du schon in eine Schlägerei verwickelt?;How often have you been involved in a physical fight?;Wie oft warst du schon in eine Schlägerei verwickelt?;How often have you been involved in a physical fight?;How often have you been involved in a physical fight?;Cik bieži tu esi ticis iesaistīts kautiņā?
TSEM_0007_CHOICE1;1 (Fast) nie;1 (Almost) never;1 (Fast) nie;1 (Almost) never;1 (Almost) never;1 (gandrīz) nekad
TSEM_0007_CHOICE2;2;2;2;2;2;2
TSEM_0007_CHOICE3;3;3;3;3;3;3
TSEM_0007_CHOICE4;4;4;4;4;4;4
TSEM_0007_CHOICE5;5 Fast immer;5 Almost always;5 Fast immer;5 Almost always;5 Almost always;5 (gandrīz) vienmēr
