key;de;en;de_f;es;it;lv
TTOM_0000_PROMPT;Fragebogen zur Selbsttheorie der Musikalität;Theory of Musicality Questionnaire;Fragebogen zur Selbsttheorie der Musikalität;Theory of Musicality Questionnaire;Questionario sulla Teoria della Musicalità;Muzikalitātes teorijas aptauja
TTOM_0001_PROMPT;Wir interessieren uns für deine Meinung zu musikalischen Fähigkeiten. Lies die folgenden Sätze und wähle aus, wie sehr du mit der Aussage übereinstimmst. Es gibt keine richtigen oder falschen Antworten.;We are interested in your opinion on musical ability. Read each sentence and select the one option that shows how much you agree with it. There are no right or wrong answers.;Wir interessieren uns für deine Meinung zu musikalischen Fähigkeiten. Lies die folgenden Sätze und wähle aus, wie sehr du mit der Aussage übereinstimmst. Es gibt keine richtigen oder falschen Antworten.;We are interested in your opinion on musical ability. Read each sentence and select the one option that shows how much you agree with it. There are no right or wrong answers.;Siamo interessati alla tua opinione sull’abilità musicale. Leggi ogni frase e seleziona la sola opzione che mostra quanto sei d’accordo con essa. Non ci sono risposte giuste o sbagliate.;Mūs interesē tavs viedoklis par muzikālajām spējām. Izlasi apgalvojumus un izvēlies vienu variantu, kas norāda, cik lielā mērā tu tam piekrīti. Nav pareizu vai nepareizu atbilžu.
TTOM_0002_CHOICE1;Stimme überhaupt nicht zu;Strongly disagree;Stimme überhaupt nicht zu;Strongly disagree;Fortemente in disaccordo;lielā mērā nepiekrītu
TTOM_0002_CHOICE2;Stimme nicht zu;Disagree;Stimme nicht zu;Disagree;In disaccordo;nepiekrītu
TTOM_0002_CHOICE3;Weder noch;Neutral;Weder noch;Neutral;Neutrale;ne piekrītu, ne nepiekrītu
TTOM_0002_CHOICE4;Stimme zu;Agree;Stimme zu;Agree;D’accordo;piekrītu
TTOM_0002_CHOICE5;Stimme sehr zu;Strongly agree;Stimme sehr zu;Strongly agree;Fortemente d’accordo;lielā mērā piekrītu
TTOM_0002_PROMPT;Man hat ein gewisses Level an musikalischen Fähigkeiten und kann nicht viel tun, um das zu ändern.;You have a certain level of musical ability and you cannot really do much to change it.;Man hat ein gewisses Level an musikalischen Fähigkeiten und kann nicht viel tun, um das zu ändern.;You have a certain level of musical ability and you cannot really do much to change it.;Hai un certo livello di abilità musicale e non puoi fare molto per cambiarlo.;Tev ir noteikts muzikālo spēju līmenis, un tu neko daudz nevari mainīt.
TTOM_0003_CHOICE1;Stimme überhaupt nicht zu;Strongly disagree;Stimme überhaupt nicht zu;Strongly disagree;Fortemente in disaccordo;lielā mērā nepiekrītu
TTOM_0003_CHOICE2;Stimme nicht zu;Disagree;Stimme nicht zu;Disagree;In disaccordo;nepiekrītu
