key;de;en;de_f;it;es;lv
TSDQ_0000_PROMPT;Fragebogen zu persönlichen Stärken und Schwächen;Strengths and Difficulties Questionnaire;Fragebogen zu persönlichen Stärken und Schwächen;Strengths and Difficulties Questionnaire;Cuestionario de Fortalezas y Dificultades;Aptauja par stiprajām un vājajām pusēm
TSDQ_0001_PROMPT;Bitte lies die folgenden Aussagen sorgfältig und entscheide, inwieweit du ihnen zustimmst. Es gibt keine richtigen oder falschen Antworten oder Fangfragen.;Please read the following statements very carefully and rate how strongly you agree or disagree with them. There are no right or wrong answers or trick questions.;Bitte lies die folgenden Aussagen sorgfältig und entscheide, inwieweit du ihnen zustimmst. Es gibt keine richtigen oder falschen Antworten oder Fangfragen.;Per favore, leggi le seguenti affermazioni molto attentamente e indica quanto sei d’accordo o in disaccordo con esse. Non ci sono risposte giuste o sbagliate, né domande trabocchetto.;Por favor, lee atentamente las siguientes afirmaciones e indica en qué medida estás de acuerdo o en desacuerdo con ellas. No hay respuestas correctas o incorrectas, ni preguntas trampa.;Lūdzu, izlasi dotos apgalvojumus un novērtē, cik ļoti tu piekrīti vai nepiekrīti tiem. Nav pareizu vai nepareizu atbilžu, vai viltīgu jautājumu!
TSDQ_0002_CHOICE1;Nicht zutreffend;Not true;Nicht zutreffend;Non vero;No es verdad;Nepiekrītu
TSDQ_0002_CHOICE2;Teilweise zutreffend;Somewhat true;Teilweise zutreffend;Parzialmente vero;Es verdad a medias;Daļēji
TSDQ_0002_CHOICE3;Eindeutig zutreffend;Certainly true;Eindeutig zutreffend;Assolutamente vero;Verdaderamente sí;Pilnībā piekrītu
TSDQ_0002_PROMPT;Ich versuche, nett zu anderen Menschen zu sein. Ihre Gefühle sind mir wichtig.;I try to be nice to other people. I care about their feelings;Ich versuche, nett zu anderen Menschen zu sein. Ihre Gefühle sind mir wichtig.;"Cerco di essere gentile verso gli altri; sono rispettoso dei loro sentimenti";Procuro ser agradable con los demás. Tengo en cuenta los sentimientos de las otras personas.;Es cenšos būt jauks pret citiem cilvēkiem. Man rūp viņu jūtas.
TSDQ_0003_CHOICE1;Nicht zutreffend;Not true;Nicht zutreffend;Non vero;No es verdad;Nepiekrītu
TSDQ_0003_CHOICE2;Teilweise zutreffend;Somewhat true;Teilweise zutreffend;Parzialmente vero;Es verdad a medias;Daļēji
TSDQ_0003_CHOICE3;Eindeutig zutreffend;Certainly true;Eindeutig zutreffend;Assolutamente vero;Verdaderamente sí;Pilnībā piekrītu
TSDQ_0003_PROMPT;"Ich bin oft unruhig; ich kann nicht lange stillsitzen.";I am restless, I cannot stay still for long;"Ich bin oft unruhig; ich kann nicht lange stillsitzen.";Sono agitato(a), non riesco a stare fermo per molto tempo;Soy inquieto/a, hiperactivo/a, no puedo permanecer quieto/a por mucho tiempo.;Esmu nemierīgs, nevaru ilgi būt rāms.
